SSS JG,90th,75th,50th,25th,10th,AB+,AB+-25%,AB++25%,Job Grade(SSS Guide Chart),Fullname,Compa Range,Mid (yearly),Min (yearly),Max (yearly)
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$271776,203832,339720,7,Melessa Eyres,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$272352,204264,340440,7,Hayden Yokelman,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$273276,204957,341595,7,Lemmie Antoniak,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$273336,205002,341670,7,Bing O'Heyne,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$274668,206001,343335,7,Fritz St. Quintin,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$275016,206262,343770,7,Huey Paoletti,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$275100,206325,343875,7,Raddie Broodes,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$275580,206685,344475,7,Lelia Giles,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$275832,206874,344790,7,Freedman Kensington,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$276468,207351,345585,7,Fanny Yoell,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$276492,207369,345615,7,Nat Fettes,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$278376,208782,347970,7,Cherilynn Swafford,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$280620,210465,350775,7,Katerine Fredi,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$282060,211545,352575,7,Murdock Heinsius,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$282564,211923,353205,7,Zenia Rattery,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$283344,212508,354180,7,Catrina Cufflin,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$283584,212688,354480,7,Dehlia Fullerton,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$287916,215937,359895,7,Sancho Mundle,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$287940,215955,359925,7,Jodee Vala,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$290088,217566,362610,7,Farra Boffey,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$290496,217872,363120,7,Josepha Revey,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$293004,219753,366255,7,Tammie Kingh,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$293064,219798,366330,7,Audrey Campbell,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$293988,220491,367485,7,Otha Sopper,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$294048,220536,367560,7,Kenna Dougary,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$294216,220662,367770,7,Franz Brighouse,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$294852,221139,368565,7,Rebecka Leat,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$294996,221247,368745,7,Debbie Martinho,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$295512,221634,369390,7,Cristian Dignum,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$298872,224154,373590,7,Hildagarde Marks,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$299508,224631,374385,7,Leesa Wittke,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$300720,225540,375900,7,Tanner Syplus,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$301320,225990,376650,7,Vitia Southall,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$301368,226026,376710,7,Bethany Dawks,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$301788,226341,377235,7,Domeniga Killock,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$302496,226872,378120,7,Torey Emanueli,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$303060,227295,378825,7,Esdras Hallitt,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$303312,227484,379140,7,Kerr Sporner,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$305100,228825,381375,7,Linea Clifft,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$306000,229500,382500,7,Allys Ruberry,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$310056,232542,387570,7,Eleanor Escalero,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$311832,233874,389790,7,Randy Luxford,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$312744,234558,390930,7,Hashim Payn,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$313644,235233,392055,7,Derward Darco,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$313896,235422,392370,7,Theodoric Mateo,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$314232,235674,392790,7,Dame Andrzejewski,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$314376,235782,392970,7,Hillard Hulson,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$315552,236664,394440,7,Ursa O'Deegan,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$316356,237267,395445,7,Reinhold Bradane,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$316872,237654,396090,7,Marlin Upcraft,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$316968,237726,396210,7,Joyous Muggleston,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$317412,238059,396765,7,Kirby Denison,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$318096,238572,397620,7,Addy Shambrook,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$318504,238878,398130,7,Nevins Forst,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$318540,238905,398175,7,Durward Buzek,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$319296,239472,399120,7,Veronique Tremelling,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$320424,240318,400530,7,Temp Weyland,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$321024,240768,401280,7,Myrvyn Edsell,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$321984,241488,402480,7,Krissie Albery,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$322560,241920,403200,7,Hestia Pickin,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$323028,242271,403785,7,Kimmy O'Logan,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$323244,242433,404055,7,Ettie Watt,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$323520,242640,404400,7,Mariya Mattheus,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$323676,242757,404595,7,April Beckwith,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$323676,242757,404595,7,Bell Paolacci,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$324636,243477,405795,7,Susannah Gorioli,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$324720,243540,405900,7,Pryce Bode,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$325164,243873,406455,7,Haley Veld,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$325692,244269,407115,7,Hale Patty,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$326220,244665,407775,7,Nonna Bagnold,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$326628,244971,408285,7,Rosamond Mattaser,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$328164,246123,410205,7,Celina Pawlata,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$328320,246240,410400,7,Ryley Piche,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$328428,246321,410535,7,Rosemonde Brimble,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$329688,247266,412110,7,Montgomery Galliford,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$330600,247950,413250,7,Basia Goodswen,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$332076,249057,415095,7,Garth Gove,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$333120,249840,416400,7,Layney Ratie,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$333156,249867,416445,7,Christy Jumel,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$333384,250038,416730,7,Isacco Origan,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$335532,251649,419415,7,Randall Worswick,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$336288,252216,420360,7,Arlene Warstall,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$337080,252810,421350,7,Bent Plumridege,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$337644,253233,422055,7,Yorgo Clappison,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$337668,253251,422085,7,Noby Lifton,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$337872,253404,422340,7,Care Ireland,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$338952,254214,423690,7,Madella Worham,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$339144,254358,423930,7,Jenifer Jarvis,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$339456,254592,424320,7,Jessalin Macrow,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$339804,254853,424755,7,Wrennie Quinton,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$340152,255114,425190,7,Corie Rizzardo,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$340308,255231,425385,7,Leelah Ludvigsen,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$341808,256356,427260,7,Rockwell Draysay,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$342072,256554,427590,7,Amery Theunissen,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$342468,256851,428085,7,Gene Sends,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$342528,256896,428160,7,Tammy Flaws,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$343752,257814,429690,7,Gawain Dewdney,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$344448,258336,430560,7,Mendy Hounsom,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$345012,258759,431265,7,Flora Flounders,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$345564,259173,431955,7,Rivkah Hurdle,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$345888,259416,432360,7,Clemmie Heckner,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$345936,259452,432420,7,Lin Lauga,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$346776,260082,433470,7,Bertie Tarling,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$347112,260334,433890,7,Andra Stickney,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$347436,260577,434295,7,Giordano Baum,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$347808,260856,434760,7,Justus MacCall,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$347868,260901,434835,7,Shandeigh Lindores,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$349512,262134,436890,7,Jeffrey Mildmott,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$349536,262152,436920,7,Dunn Barthrop,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$351192,263394,438990,7,Say Slyme,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$351864,263898,439830,7,Mada Moss,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$351948,263961,439935,7,Pen Glanister,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$353136,264852,441420,7,Ashton Lauga,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$353388,265041,441735,7,Lindsey Hedley,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$353880,265410,442350,7,Esteban Guiraud,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$354696,266022,443370,7,Giorgio Ginger,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$356076,267057,445095,7,Mallissa Buzine,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
